GX,GY,GZ,AX,AY,AZ,IDX
x: -021.207145 , y: +055.083908 , z: -033.614809, ax: -266 , ay: -416 , az: -1908, index: 18
x: -021.238901 , y: +055.086962 , z: -033.528702, ax: -426 , ay: -386 , az: -1860, index: 18
x: -021.263908 , y: +055.063878 , z: -033.381863, ax: -300 , ay: -374 , az: -1858, index: 18
x: -021.301160 , y: +055.071817 , z: -033.293924, ax: -160 , ay: -618 , az: -1988, index: 18
x: -021.353679 , y: +055.094412 , z: -033.307969, ax: 52 , ay: -534 , az: -1892, index: 18
x: -021.402534 , y: +055.115786 , z: -033.368427, ax: -96 , ay: -656 , az: -1918, index: 18
x: -021.485588 , y: +055.115786 , z: -033.404458, ax: -276 , ay: -442 , az: -1848, index: 18
x: -021.550931 , y: +055.085863 , z: -033.410565, ax: -288 , ay: -260 , az: -1808, index: 18
x: -021.595176 , y: +055.069832 , z: -033.420824, ax: -456 , ay: -230 , az: -2032, index: 18


x: -022.642412 , y: +057.171817 , z: -034.298015, ax: 2462 , ay: 82 , az: -2268, index: 18
x: -022.721802 , y: +056.643573 , z: -034.258321, ax: 2862 , ay: 162 , az: -2388, index: 18
x: -022.644855 , y: +055.991969 , z: -034.422595, ax: 2714 , ay: 170 , az: -2838, index: 18
x: -022.216153 , y: +055.569985 , z: -034.743817, ax: 116 , ay: -186 , az: -2342, index: 18
x: -021.969435 , y: +054.540977 , z: -034.845191, ax: 1886 , ay: -8 , az: -3548, index: 18
x: -021.801496 , y: +053.075939 , z: -034.719389, ax: 1494 , ay: -204 , az: -3466, index: 18
x: -021.677527 , y: +051.365405 , z: -034.499542, ax: 622 , ay: -356 , az: -3406, index: 18
x: -021.588366 , y: +049.664641 , z: -034.329160, ax: -570 , ay: -284 , az: -3374, index: 18
x: -021.500519 , y: +048.124427 , z: -034.257344, ax: -1532 , ay: -344 , az: -3508, index: 18
x: -021.391817 , y: +046.857863 , z: -034.207878, ax: -2008 , ay: -426 , az: -3354, index: 18
x: -021.234718 , y: +045.461924 , z: -033.994992, ax: -3004 , ay: -486 , az: -3618, index: 18
x: -021.035023 , y: +044.166656 , z: -033.722626, ax: -4030 , ay: -512 , az: -3992, index: 18
x: -020.872153 , y: +043.070809 , z: -033.508458, ax: -5978 , ay: -734 , az: -4738, index: 18
x: -021.039511 , y: +042.509099 , z: -033.240427, ax: -8010 , ay: -1058 , az: -5326, index: 18
x: -021.396763 , y: +042.873069 , z: -032.876458, ax: -8750 , ay: -906 , az: -4390, index: 18
x: -021.800092 , y: +044.208092 , z: -032.711664, ax: -7722 , ay: -1056 , az: -3818, index: 18
